폭력범죄, 약취·유인, 4, 16, 0, 2, 14, 29, 1, 10, 18, 110, 3, 16, 91, 17, 5, 1, 11, 38, 5, 6, 27, 3, , , , 16, 107, 3, 14, 0, 6, 8, 34, 0, 15, 19, 94, 1, 13, 80, 10, 2, 2, 6, 29, 3, 9, 17, 2, 1, 0, 1, 3, 81, 3, 11, 0, 2, 9, 16, 1, 4, 11, 74, 10, 12, 52, 12, 1, 4, 7, 32, 3, 5, 24, 10, 2, 2, 6, 2, 100, 3, 14, 0, 4, 10, 24, 1, 9, 14, 70, 1, 8, 61, 15, 2, 2, 11, 37, 5, 8, 24, 4, 1, 0, 3, 6, 79,
폭력범죄, 폭력행위, 474, 3712, 28, 601, 3083, 12939, 4394, 2627, 5918, 46247, 6193, 5173, 34881, 4713, 1054, 558, 3101, 11511, 3828, 1547, 6136, 1086, , , , 4207, 18534, 537, 3866, 21, 688, 3157, 14742, 5820, 2872, 6050, 48801, 8732, 5484, 34585, 5120, 1131, 580, 3409, 12698, 4407, 1621, 6670, 1202, 346, 115, 741, 2851, 16439, 479, 3707, 2, 669, 3036, 11126, 2788, 2285, 6053, 39602, 4916, 4490, 30196, 4603, 770, 557, 3276, 11354, 3437, 1651, 6266, 1102, 313, 104, 685, 1641, 16244, 460, 3330, 12, 614, 2704, 9743, 2510, 1936, 5297, 35336, 4055, 3836, 27445, 4040, 609, 491, 2940, 10230, 2970, 1625, 5635, 1013, 268, 116, 629, 1323, 14638,
폭력범죄, 공갈, 7, 71, 1, 21, 49, 955, 480, 280, 195, 1417, 444, 344, 629, 81, 8, 9, 64, 184, 28, 37, 119, 26, , , , 114, 931, 9, 139, 4, 27, 108, 1606, 1013, 333, 260, 2499, 1051, 476, 972, 98, 16, 14, 68, 245, 35, 44, 166, 22, 3, 5, 14, 55, 782, 14, 71, 2, 18, 51, 695, 368, 178, 149, 1257, 354, 269, 634, 62, 7, 10, 45, 225, 29, 40, 156, 39, 2, 5, 32, 37, 789, 12, 135, 0, 24, 111, 615, 243, 141, 231, 1465, 260, 240, 965, 111, 8, 19, 84, 312, 34, 63, 215, 38, 1, 4, 33, 50, 936,
폭력범죄, 손괴, 312, 1864, 3, 338, 1523, 2774, 77, 574, 2123, 11975, 225, 1023, 10727, 1351, 131, 127, 1093, 3849, 533, 460, 2856, 506, , , , 1338, 4780, 306, 1962, 15, 372, 1575, 3111, 139, 682, 2290, 12325, 325, 1077, 10923, 1490, 106, 138, 1246, 4296, 668, 560, 3068, 553, 90, 45, 418, 980, 4608, 328, 2059, 1, 401, 1657, 3169, 126, 665, 2378, 11760, 277, 1040, 10443, 1595, 109, 137, 1349, 4357, 658, 602, 3097, 551, 87, 32, 432, 540, 4936, 365, 1975, 0, 365, 1610, 2959, 84, 603, 2272, 11969, 237, 1005, 10727, 1668, 144, 175, 1349, 4687, 655, 671, 3361, 626, 97, 54, 475, 524, 5134,
지능범죄, 지능범죄(소계), 631, 6111, 10, 939, 5162, 12802, 582, 3297, 8923, 71966, 3417, 6925, 61624, 6528, 403, 770, 5355, 20273, 1724, 3124, 15425, 3116, , , , 6214, 201758, 605, 6303, 7, 959, 5337, 13431, 934, 3288, 9209, 69823, 4902, 6778, 58143, 6870, 411, 805, 5654, 21267, 1923, 3684, 15660, 3122, 258, 327, 2537, 4232, 154590, 711, 6766, 2, 1065, 5699, 14959, 882, 3772, 10305, 71514, 4435, 8022, 59057, 7848, 424, 1006, 6418, 24208, 2042, 4664, 17502, 3404, 272, 406, 2726, 2446, 172169, 699, 6525, 14, 994, 5517, 15327, 870, 3633, 10824, 72133, 4216, 7471, 60446, 7837, 332, 976, 6529, 25017, 2219, 4770, 18028, 3532, 334, 409, 2789, 2763, 152266,
지능범죄, 직무유기, 0, 0, 0, 0, 0, 2, 0, 0, 2, 51, 0, 0, 51, 17, 0, 0, 17, 95, 1, 3, 91, 20, , , , 0, 484, 0, 2, 0, 0, 2, 4, 0, 1, 3, 44, 0, 1, 43, 23, 0, 0, 23, 96, 0, 2, 94, 10, 0, 0, 10, 9, 635, 0, 1, 0, 0, 1, 3, 0, 1, 2, 43, 0, 0, 43, 10, 1, 0, 9, 94, 1, 6, 87, 9, 0, 0, 9, 4, 638, 1, 1, 0, 0, 1, 1, 0, 0, 1, 26, 0, 0, 26, 14, 0, 0, 14, 82, 0, 6, 76, 14, 1, 1, 12, 0, 662,
지능범죄, 직권남용, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 25, 2, 0, 0, 2, 55, 1, 2, 52, 8, , , , 2, 265, 0, 2, 0, 2, 0, 1, 0, 0, 1, 33, 0, 0, 33, 5, 0, 0, 5, 39, 1, 1, 37, 6, 0, 1, 5, 1, 322, 0, 0, 0, 0, 0, 2, 0, 0, 2, 32, 0, 0, 32, 12, 0, 1, 11, 61, 0, 3, 58, 7, 0, 1, 6, 1, 408, 0, 0, 0, 0, 0, 1, 0, 1, 0, 24, 0, 0, 24, 5, 0, 0, 5, 50, 1, 5, 44, 18, 0, 0, 18, 3, 494,
지능범죄, 증수뢰, 2, 11, 0, 0, 11, 27, 0, 5, 22, 394, 0, 10, 384, 68, 2, 0, 66, 375, 6, 17, 352, 70, , , , 52, 240, 1, 11, 0, 0, 11, 19, 0, 3, 16, 238, 1, 6, 231, 45, 1, 0, 44, 255, 4, 9, 242, 61, 5, 1, 55, 20, 182, 1, 13, 0, 2, 11, 24, 0, 2, 22, 198, 0, 3, 195, 54, 0, 0, 54, 278, 0, 12, 266, 71, 4, 0, 67, 0, 216, 5, 9, 0, 3, 6, 19, 0, 2, 17, 187, 0, 8, 179, 64, 0, 3, 61, 300, 3, 8, 289, 53, 2, 0, 51, 8, 203,
지능범죄, 통화, 0, 0, 0, 0, 0, 17, 6, 6, 5, 50, 12, 11, 27, 3, 1, 1, 1, 11, 1, 2, 8, 0, , , , 2, 38, 0, 8, 0, 1, 7, 22, 5, 5, 12, 36, 7, 11, 18, 6, 3, 1, 2, 17, 9, 2, 6, 1, 0, 1, 0, 9, 64, 0, 4, 0, 0, 4, 17, 3, 3, 11, 66, 16, 7, 43, 11, 0, 0, 11, 13, 2, 5, 6, 2, 0, 0, 2, 1, 320, 0, 3, 0, 1, 2, 4, 2, 0, 2, 49, 9, 5, 35, 8, 1, 0, 7, 14, 3, 4, 7, 1, 0, 0, 1, 1, 254,
지능범죄, 문서·인장, 66, 573, 2, 88, 483, 1114, 56, 248, 810, 6024, 1101, 520, 4403, 583, 30, 33, 520, 2058, 160, 191, 1707, 376, , , , 561, 10750, 55, 496, 1, 71, 424, 926, 106, 234, 586, 5752, 1777, 579, 3396, 595, 46, 47, 502, 1905, 227, 228, 1450, 311, 23, 25, 263, 405, 9034, 68, 514, 0, 58, 456, 1007, 89, 262, 656, 5622, 1287, 572, 3763, 572, 38, 39, 495, 2139, 168, 303, 1668, 388, 28, 29, 331, 172, 9924, 37, 436, 4, 63, 369, 999, 99, 225, 675, 5164, 1066, 459, 3639, 533, 21, 79, 433, 2054, 160, 345, 1549, 339, 28, 34, 277, 215, 9683,
지능범죄, 유가증권인지, 0, 18, 0, 1, 17, 24, 0, 10, 14, 159, 0, 12, 147, 17, 0, 5, 12, 57, 3, 5, 49, 13, , , , 26, 711, 0, 12, 0, 1, 11, 16, 0, 3, 13, 113, 0, 5, 108, 16, 0, 1, 15, 59, 2, 6, 51, 9, 0, 0, 9, 2, 406, 2, 19, 0, 7, 12, 13, 0, 1, 12, 91, 0, 2, 89, 10, 0, 2, 8, 34, 0, 4, 30, 5, 0, 0, 5, 2, 372, 1, 14, 0, 2, 12, 26, 0, 6, 20, 106, 0, 2, 104, 10, 0, 1, 9, 46, 0, 8, 38, 6, 0, 0, 6, 6, 337,
지능범죄, 사기, 480, 4798, 8, 741, 4049, 10302, 347, 2754, 7201, 56922, 1679, 5770, 49473, 4880, 302, 650, 3928, 14209, 1201, 2572, 10436, 1993, , , , 4740, 166310, 449, 4937, 6, 762, 4169, 10746, 553, 2697, 7496, 55043, 2276, 5496, 47271, 5096, 300, 667, 4129, 15224, 1297, 2998, 10929, 2140, 176, 254, 1710, 3191, 124061, 505, 5200, 1, 843, 4356, 11959, 560, 3096, 8303, 55559, 2186, 6619, 46754, 5768, 316, 848, 4604, 17099, 1438, 3787, 11874, 2222, 171, 322, 1729, 1945, 139052, 515, 5010, 7, 762, 4241, 12440, 605, 3006, 8829, 56838, 2401, 6302, 48135, 5762, 254, 769, 4739, 17860, 1664, 3823, 12373, 2308, 222, 330, 1756, 2141, 119299,
