범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계,
범죄, 범죄, 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계),
범죄, 범죄, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상
폭력범죄, 손괴, 25361, 11330, 94, 17, 95, 13825, , 3388, 2297, 38, 1, 54, 997, 1, , 26070, 8868, 98, 21, 122, 14165, 2796, 3561, 1818, 39, 5, 52, 1044, 0, 603, 25711, 8461, 134, 19, 162, 14000, 2935, 3584, 1833, 57, 6, 40, 1051, 0, 597, 26049, 8864, 117, 15, 163, 13698, 3192, 3858, 1913, 56, 8, 69, 1095, 1, 716,
지능범죄, 지능범죄(소계), 254804, 248227, 93, 19, 126, 6339, , 74595, 74339, 22, 9, 31, 180, 14, , 217474, 94399, 88, 35, 119, 6633, 116200, 62769, 28526, 27, 10, 33, 230, 6, 33937, 238931, 101431, 51, 34, 167, 7025, 130223, 65094, 28582, 30, 11, 66, 237, 0, 36168, 224399, 104347, 45, 32, 161, 6386, 113428, 61700, 28615, 38, 8, 46, 234, 2, 32757,
지능범죄, 직무유기, 582, 582, 0, 0, 0, 0, , 87, 87, 0, 0, 0, 0, 0, , 687, 179, 0, 0, 0, 0, 508, 136, 23, 0, 0, 0, 0, 0, 113, 695, 148, 0, 0, 0, 0, 547, 107, 19, 0, 0, 0, 1, 0, 87, 676, 121, 0, 0, 0, 0, 555, 125, 22, 0, 0, 0, 0, 0, 103,
지능범죄, 직권남용, 332, 332, 0, 0, 0, 0, , 25, 25, 0, 0, 0, 0, 0, , 372, 85, 0, 0, 0, 0, 287, 37, 9, 0, 0, 0, 0, 0, 28, 476, 109, 0, 0, 0, 2, 365, 47, 9, 0, 0, 0, 0, 0, 38, 540, 98, 0, 0, 0, 0, 442, 55, 4, 0, 0, 0, 0, 0, 51,
지능범죄, 증수뢰, 1150, 1147, 0, 0, 0, 3, , 89, 88, 1, 0, 0, 0, 0, , 764, 603, 0, 0, 1, 2, 158, 68, 54, 0, 0, 0, 1, 0, 13, 810, 645, 0, 0, 0, 1, 164, 45, 30, 0, 0, 0, 1, 0, 14, 802, 618, 0, 0, 0, 8, 176, 46, 28, 0, 0, 0, 1, 0, 17,
지능범죄, 통화, 110, 106, 0, 0, 0, 4, , 11, 11, 0, 0, 0, 0, 0, , 143, 88, 1, 0, 0, 1, 53, 20, 15, 0, 0, 0, 0, 0, 5, 412, 109, 0, 0, 0, 1, 302, 22, 17, 0, 0, 1, 0, 0, 4, 321, 80, 0, 0, 1, 1, 239, 13, 7, 0, 0, 0, 0, 0, 6,
지능범죄, 문서·인장, 15187, 15099, 11, 3, 8, 66, , 6918, 6889, 3, 0, 5, 18, 2, , 13817, 7135, 7, 3, 5, 74, 6593, 5662, 3418, 2, 1, 4, 32, 1, 2204, 14612, 7332, 7, 2, 9, 72, 7190, 5794, 3419, 3, 0, 8, 32, 0, 2332, 14295, 7246, 2, 1, 4, 85, 6957, 5165, 2889, 1, 1, 1, 35, 0, 2238,
지능범죄, 유가증권인지, 916, 916, 0, 0, 0, 0, , 109, 109, 0, 1, 0, 0, 0, , 559, 209, 1, 0, 0, 0, 349, 74, 22, 0, 0, 0, 0, 0, 52, 468, 163, 0, 0, 0, 1, 304, 80, 24, 0, 0, 0, 0, 0, 56, 482, 204, 0, 1, 0, 1, 276, 70, 22, 0, 0, 0, 0, 0, 48,
지능범죄, 사기, 204568, 198301, 74, 13, 97, 6083, , 60066, 59871, 16, 8, 22, 140, 9, , 171383, 71807, 75, 29, 104, 6388, 92980, 49504, 21727, 21, 9, 27, 181, 2, 27537, 188334, 76320, 35, 24, 130, 6729, 105096, 50975, 21334, 24, 7, 49, 163, 0, 29398, 174232, 79303, 37, 21, 123, 6047, 88701, 47941, 21902, 31, 6, 35, 160, 0, 25807,
지능범죄, 횡령, 25596, 25382, 8, 3, 21, 182, , 5793, 5762, 2, 0, 4, 22, 3, , 23682, 12083, 4, 2, 8, 165, 11420, 5825, 2779, 3, 0, 2, 16, 3, 3022, 26291, 14101, 8, 8, 28, 217, 11929, 6432, 3185, 2, 3, 8, 40, 0, 3194, 25334, 13363, 6, 9, 33, 243, 11680, 6641, 3156, 6, 1, 10, 36, 2, 3430,
