범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체, 전체,
범죄, 범죄, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상, 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 미성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 성년(소계), 미상,
범죄, 범죄, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상, 미성년(소계), 14세미만, 14세, 15세, 16세, 17세, 18세, 성년(소계), 19세, 20세, 21~25세, 26~30세, 31~35세, 36~40세, 41~45세, 46~50세, 51~55세, 56~60세, 61~65세, 66~70세, 71세이상, 미상
폭력범죄, 약취·유인, 16, 0, 0, 2, 1, 4, 9, 324, 10, 9, 33, 39, 41, 48, 54, 40, 13, 19, 10, 5, 3, 0, 16, 0, 7, 0, 1, 3, 5, 254, 5, 11, 32, 30, 26, 25, 37, 29, 23, 18, 12, 4, 2, 0, 20, 0, 1, 1, 3, 7, 8, 240, 2, 6, 12, 28, 36, 43, 36, 20, 24, 12, 8, 7, 6, 0, 13, 0, 0, 1, 2, 0, 10, 238, 9, 5, 16, 29, 34, 37, 23, 23, 18, 20, 13, 4, 7, 1,
폭력범죄, 폭력행위, 15386, 29, 1210, 3880, 4106, 3232, 2929, 88035, 3288, 2333, 11863, 13466, 10091, 9739, 10634, 10590, 8216, 4163, 1944, 1016, 692, 2, 19839, 110, 2680, 4390, 4657, 4250, 3752, 86393, 3386, 2490, 12630, 12183, 10141, 9021, 10169, 10101, 8263, 4297, 1960, 1002, 750, 24, 12467, 46, 1792, 2383, 2454, 2789, 3003, 77343, 2686, 1943, 11177, 10227, 9225, 7942, 9292, 9105, 7924, 4336, 1837, 899, 750, 48, 10472, 2, 1516, 2256, 2005, 2085, 2608, 69557, 2574, 1734, 9946, 8104, 8284, 6735, 8289, 8100, 7564, 4431, 1990, 981, 825, 84,
폭력범죄, 공갈, 1576, 0, 136, 466, 491, 312, 171, 2210, 99, 57, 101, 198, 242, 253, 330, 337, 279, 155, 81, 48, 30, 0, 2778, 19, 473, 836, 744, 469, 237, 2677, 139, 43, 154, 214, 297, 304, 402, 437, 365, 178, 79, 40, 25, 0, 1101, 1, 260, 306, 218, 191, 125, 2081, 62, 31, 124, 175, 258, 240, 290, 296, 281, 166, 86, 44, 28, 7, 754, 0, 132, 224, 178, 112, 108, 2907, 68, 51, 185, 206, 342, 316, 428, 402, 431, 269, 122, 58, 29, 13,
폭력범죄, 손괴, 452, 12, 34, 56, 79, 117, 154, 28297, 254, 183, 1395, 2573, 3002, 3676, 4792, 4673, 3731, 1895, 998, 573, 552, 0, 790, 23, 74, 91, 131, 203, 268, 28833, 273, 198, 1627, 2599, 3080, 3499, 4560, 4602, 4013, 2047, 1037, 682, 616, 8, 767, 4, 63, 121, 136, 181, 262, 28512, 340, 237, 1676, 2371, 3147, 3226, 4411, 4498, 3992, 2221, 1085, 627, 681, 16, 703, 0, 44, 91, 137, 144, 287, 29189, 387, 277, 1886, 2270, 3030, 3119, 4328, 4420, 4153, 2486, 1229, 703, 901, 15,
지능범죄, 지능범죄(소계), 7771, 12, 153, 600, 1587, 2380, 3039, 321623, 2549, 2301, 14769, 25537, 31945, 40680, 51392, 53677, 47446, 27119, 13041, 6538, 4629, 5, 10048, 15, 425, 1083, 2271, 3032, 3222, 269966, 2617, 2153, 11773, 19814, 26274, 32906, 42761, 43835, 42250, 23983, 11299, 5887, 4414, 229, 11120, 11, 453, 1242, 2466, 3496, 3452, 292457, 3143, 3233, 15950, 22426, 29508, 33919, 44145, 45440, 44073, 26637, 12731, 6294, 4958, 448, 10483, 9, 546, 1186, 2353, 3212, 3177, 274811, 3380, 2856, 15078, 18408, 26559, 29740, 40828, 42629, 42671, 27569, 13054, 6662, 5377, 805,
지능범죄, 직무유기, 1, 1, 0, 0, 0, 0, 0, 668, 0, 0, 2, 26, 67, 90, 124, 128, 130, 81, 14, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 818, 0, 0, 1, 30, 92, 101, 142, 135, 168, 106, 21, 8, 14, 5, 0, 0, 0, 0, 0, 0, 0, 772, 1, 0, 4, 35, 75, 93, 127, 148, 157, 98, 22, 6, 6, 30, 0, 0, 0, 0, 0, 0, 0, 680, 1, 1, 5, 25, 71, 87, 115, 120, 135, 97, 13, 5, 5, 121,
지능범죄, 직권남용, 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 6, 19, 30, 49, 62, 60, 87, 31, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 406, 1, 0, 2, 27, 35, 52, 90, 67, 69, 48, 8, 5, 2, 3, 0, 0, 0, 0, 0, 0, 0, 497, 0, 0, 4, 23, 57, 56, 99, 102, 104, 37, 11, 2, 2, 26, 0, 0, 0, 0, 0, 0, 0, 530, 0, 0, 5, 28, 75, 53, 109, 100, 82, 69, 8, 1, 0, 65,
지능범죄, 증수뢰, 0, 0, 0, 0, 0, 0, 0, 1239, 0, 0, 5, 22, 49, 126, 236, 267, 270, 143, 79, 26, 16, 0, 0, 0, 0, 0, 0, 0, 0, 832, 0, 0, 1, 5, 32, 60, 153, 154, 209, 137, 50, 18, 13, 0, 0, 0, 0, 0, 0, 0, 0, 855, 0, 0, 2, 0, 21, 69, 133, 173, 220, 148, 49, 34, 6, 0, 0, 0, 0, 0, 0, 0, 0, 842, 0, 0, 0, 6, 30, 71, 135, 177, 190, 156, 47, 18, 12, 6,
지능범죄, 통화, 36, 0, 0, 7, 8, 15, 6, 85, 5, 3, 16, 8, 17, 5, 3, 5, 8, 10, 1, 2, 2, 0, 28, 0, 4, 2, 2, 6, 14, 135, 21, 6, 31, 24, 11, 7, 9, 8, 5, 6, 4, 0, 3, 0, 26, 0, 1, 6, 9, 3, 7, 408, 4, 5, 20, 19, 21, 4, 5, 305, 4, 16, 5, 0, 0, 0, 14, 0, 2, 2, 3, 5, 2, 320, 2, 0, 14, 5, 9, 6, 7, 237, 8, 11, 13, 3, 5, 0,
지능범죄, 문서·인장, 1687, 0, 7, 69, 210, 540, 861, 20417, 252, 115, 707, 1358, 1802, 2483, 3054, 3118, 2968, 1913, 1180, 719, 748, 1, 2622, 0, 46, 197, 467, 976, 936, 16834, 205, 78, 582, 989, 1415, 1905, 2395, 2641, 2539, 1639, 1037, 655, 754, 23, 2166, 0, 38, 151, 457, 899, 621, 18183, 113, 88, 728, 1208, 1768, 2055, 2711, 2659, 2654, 1836, 1032, 666, 665, 57, 1816, 0, 58, 160, 402, 707, 489, 17519, 101, 116, 787, 1089, 1704, 1849, 2423, 2501, 2563, 1985, 1045, 682, 674, 125,
